Name,Lead,Supporting,Notes
Kate Hudson,,Almost Famous (2000),
Kate Nelligan,,The Prince of Tides (1991),
Kate Winslet,"Titanic (1997), Eternal Sunshine of the Spotless Mind (2004), Little Children (2006), The Reader (2008)","Sense and Sensibility (1995), Iris (2001), Steve Jobs (2015)",
Katharine Hepburn,"Morning Glory (1933), Alice Adams (1935), The Philadelphia Story (1940), Woman of the Year (1942), The African Queen (1951), Summertime (1955), The Rainmaker (1956), Suddenly, Last Summer (1959), Long Day's Journey into Night (1962), Guess Who's Coming to Dinner (1967), The Lion In Winter (1968), On Golden Pond (1981)",,
Kathleen Quinlan,,Apollo 13 (1995),
Kathy Bates,Misery (1990),"Primary Colors (1998), About Schmidt (2002), Richard Jewell (2019)",
Keira Knightley,Pride & Prejudice (2005),The Imitation Game (2014),
Keisha Castle-Hughes,Whale Rider (2003),,
Ken Watanabe,,The Last Samurai (2003),
Kenneth Branagh,Henry V (1989),My Week with Marilyn (2011),
Kevin Costner,Dances with Wolves (1990),,
Kevin Kline,,A Fish Called Wanda (1988),
Kevin Spacey,American Beauty (1999),The Usual Suspects (1995),
Kim Basinger,,L.A. Confidential (1997),
Kirk Douglas,"Champion (1949), The Bad and the Beautiful (1952), Lust for Life (1956)",,
Kirsten Dunst,,The Power of the Dog (2021),
Kodi Smit-McPhee,,The Power of the Dog (2021),
Kristen Stewart,Spencer (2021),,
Kristin Scott Thomas,The English Patient (1996),,
Lady Gaga,A Star Is Born (2018),,
Lakeith Stanfield,,Judas and the Black Messiah (2021),
Laura Dern,Rambling Rose (1991),"Wild (2014), Marriage Story (2019)",
Laura Linney,"You Can Count On Me (2000), The Savages (2007)",Kinsey (2004),
Lauren Bacall,,The Mirror Has Two Faces (1996),
Laurence Fishburne,What's Love Got to Do with It (1993),,
Laurie Metcalf,,Lady Bird (2017),
Lena Olin,,"Enemies, A Love Story (1989)",
Leonardo DiCaprio,"The Aviator (2004), Blood Diamond (2006), The Wolf of Wall Street (2013), The Revenant (2015), Once Upon a Time in Hollywood (2019)",What's Eating Gilbert Grape (1993),
Lesley Manville,,Phantom Thread (2017),
Liam Neeson,Schindler’s List (1993),,
Lily Tomlin,,Nashville (1975),
Linda Blair,,The Exorcist (1973),
Linda Hunt,,The Year of Living Dangerously (1983),
Lionel Barrymore,A Free Soul (1931),,
Lorraine Bracco,,Goodfellas (1990),
Lucas Hedges,,Manchester by the Sea (2016),
Lupita Nyong'o,,12 Years a Slave (2013),
Lynn Redgrave,Georgy Girl (1966),Gods and Monsters (1998),
Maggie Gyllenhaal,,Crazy Heart (2009),
Maggie Smith,"The Prime of Miss Jean Brodie (1969), Travels with My Aunt (1972)","Othello (1965), California Suite (1978), A Room with a View (1986), Gosford Park (2001)",
Mahershala Ali,,"Moonlight (2016), Green Book (2018)",
Marcello Mastroianni,"Divorce Italian Style (1962), A Special Day (1977), Dark Eyes (1987)",,
Marcia Gay Harden,,"Pollock (2000), Mystic River (2003)",
Mare Winningham,,Georgia (1995),
Margot Robbie,"I, Tonya (2017)",Bombshell (2019),
Maria Bakalova,,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan (2020),
Marianne Jean-Baptiste,,Secrets & Lies (1996),
Marina de Tavira,,Roma (2018),
Marion Cotillard,"La Vie en rose (2007), Two Days, One Night (2014)",,
Marisa Tomei,,"My Cousin Vinny (1992), In the Bedroom (2001), The Wrestler (2008)",
