Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
11/01/1978,Watership Down,"Hoping to escape harm by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek a safe haven for a warren.",Martin Rosen,"John Hurt,
Richard Briers,
Michael Graham Cox","Angela Morley,
Malcolm Williamson",
11/15/1978,The Lord of the Rings,Gandalf entrusts a magical ring to a young hobbit who leaves his home and travels with a fellowship of eight heroic allies to Mount Doom to destroy it.,Ralph Bakshi,"Christopher Guard,
William Squire,
Michael Scholes","Leonard Rosenman,
Paul Kont",
12/08/1978,The Deer Hunter,"In 1968, three working-class friends enlist in the Army in Vietnam. They are haunted by the hellish experience and struggle returning to civilian life.",Michael Cimino,"Robert De Niro,
John Cazale,
John Savage",Stanley Myers,
12/15/1978,Superman,"Sent from his dying planet to Earth and raised by farmers, Clark moves to Metropolis to fight crime, becomes a reporter, and faces genius Lex Luthor.",Richard Donner,"Christopher Reeve,
Marlon Brando,
Gene Hackman",John Williams,
12/20/1978,Every Which Way but Loose,"Trucker and brawler Philo Beddoe goes from L.A. to Colorado to find a singer lost love, joined by his brother Orville and his loved pet orangutan Clyde.",James Fargo,"Clint Eastwood,
Sondra Locke,
Geoffrey Lewis",Steve Dorff,
12/22/1978,Invasion of the Body Snatchers,"In San Francisco, laboratory scientists Elizabeth and Matthew discover pods are replicating people into emotionless automatons one body at a time.",Philip Kaufman,"Donald Sutherland,
Brooke Adams,
Leonard Nimoy",Denny Zeitlin,
02/09/1979,Murder by Decree,Sherlock Holmes investigates prostitute murders commited by Jack the Ripper and discovers a conspiracy where radical police protect one man.,Bob Clark,"Christopher Plummer,
James Mason,
David Hemmings","Paul Zaza,
Carl Zittrer",
02/09/1979,The Warriors,"A leader summons the street gangs of New York City in a bid to take it over. When he is killed, the Warriors are falsely blamed and fight to go home.",Walter Hill,"Michael Beck,
James Remar,
Deborah Van Valkenburgh",Barry De Vorzon,
03/14/1979,Hair,"Claude leaves a ranch in Oklahoma for New York, where he is embraced into a hippie group of youngsters, yet he has already been drafted.",Miloš Forman,"John Savage,
Treat Williams,
Beverly D'Angelo",Galt MacDermot,
03/28/1979,Phantasm,"12-year-old Mike, his brother, and friends face the Tall Man, an undertaker who converts the dead to dwarf zombies to be sent to his planet as slaves.",Don Coscarelli,"Michael Baldwin,
Bill Thornbury,
Reggie Bannister","Fred Myrow,
Malcolm Seagrave",
04/04/1979,The Champ,"A former boxer discovers his biggest battle of all is going to be with his ex-wife, who returns after abandoning their young son 7 years prior.",Franco Zeffirelli,"Jon Voight,
Faye Dunaway,
Ricky Schroder",Dave Grusin,
04/06/1979,Love at First Bite,"Dracula and Renefield relocate to 1970s New York in search of Cindy Sondheim, the reincarnation of Dracula’s one true love.",Stan Dragoti,"George Hamilton,
Susan Saint James,
Richard Benjamin",Charles Bernstein,
04/20/1979,Dawn of the Dead,"In Philadelphia, SWAT officers, a traffic reporter, and his pregnant TV producer girlfriend hide from a zombie epidemic in a secluded shopping mall.",George A. Romero,"David Emge,
Ken Foree,
Scott Reiniger","The Goblins,
Dario Argento",Night of the Living Dead 2
04/25/1979,Manhattan,"In New York, the life of divorced comedy TV writer Isaac, who is dating a teenage girl, is complicated when he falls for his best friend's mistress Mary.",Woody Allen,"Woody Allen,
Diane Keaton,
Michael Murphy",N/A,
05/01/1979,Dracula and Son,"After being driven from his castle, Dracula moves to London and becomes a big movie star. His son Ferdinand becomes a night watchman in France.",Edouard Molinaro,"Christopher Lee,
Bernard Ménez,
Marie-Hélène Breillat",Vladimir Cosma,
05/25/1979,Alien,"In 2122, seven starship crew members discover an egg nest. After a Facehugger attaches to one, a deadly alien emerges and terrorizes the crew.",Ridley Scott,"Sigourney Weaver,
Tom Skerritt,
Veronica Cartwright",Jerry Goldsmith,
06/08/1979,Game of Death,Martial arts movie star Billy must fake his death to find the rackateering syndicate that is trying to kill him. He disguises himself and saves his fiancée.,"Robert Clouse,
Bruce Lee,
Sammo Hung","Bruce Lee,
Gig Young,
Dean Jagger","John Barry,
Joseph Koo",
06/15/1979,Rocky II,"Newly married and enjoying fame despite finance issues, Rocky risks his eyesight in a rematch with Apollo, who wants to prove their first was a fluke.",Sylvester Stallone,"Sylvester Stallone,
Talia Shire,
Burt Young",Bill Conti,
06/22/1979,Escape from Alcatraz,"In 1962, gifted Frank Morris and the bank robbing Anglin brothers depart from Alcatraz on their raft after digging through walls and making dummies.",Don Siegel,"Clint Eastwood,
Patrick McGoohan,
Fred Ward",Jerry Fielding,
06/22/1979,The Muppet Movie,"To pursue a movie career, Kermit and new friends trek from Florida to California. He is offered a job to promote fried frog legs by Hopper but refuses.",James Frawley,"Jim Henson,
Frank Oz,
Jerry Nelson","Kenneth Ascher,
Paul Williams",
06/29/1979,Meatballs,"In Ontario, Tripper leads new counselors at Camp North Star, falls for counselor Roxanne, and jogs with young Rudy. They clash with Camp Mohawk.",Ivan Reitman,"Bill Murray,
Harvey Atkin,
Kate Lynch",Elmer Bernstein,
06/29/1979,Moonraker,"When Bond investigates the theft of an American space shuttle, he and CIA agent Holly Goodhead struggle against Hugo Drax, a greedy industrialist.",Lewis Gilbert,"Roger Moore,
Lois Chiles,
Michael Lonsdale",John Barry,James Bond 11
07/13/1979,Breaking Away,"19-year-old Dave enjoys racing bikes and hopes to race Italians, and even takes up Italian culture, much to his friends' and parents' annoyance.",Peter Yates,"Dennis Christopher,
Dennis Quaid,
Daniel Stern",Patrick Williams,
07/20/1979,Dracula,"In 1913 England, a sinister vampire searches for an immortal bride. He kills Mina, whose father van Helsing distrusts him. Her friend Lucy is charmed.",John Badham,"Frank Langella,
Laurence Olivier,
Donald Pleasence",John Williams,
07/27/1979,The Amityville Horror,"In 1975 New York, newlyweds and three children are terrorized by demonic forces after moving into a house where a family was killed one year ago.",Stuart Rosenberg,"James Brolin,
Margot Kidder,
Rod Steiger",Lalo Schifrin,
07/27/1979,The Villain,"Facing a hanging, a bank robber makes a deal to avoid death by setting traps for Charming Jones and a big, handsome stranger escorting her west.",Hal Needham,"Kirk Douglas,
Arnold Schwarzenegger,
Ann-Margret",Bill Justis,
08/03/1979,More American Graffiti,"On four New Year's Eve days from 1964 to 1967, college graduates deal with careers and love in California, and an unwanted war in Vietnam.",Bill L. Norton,"Paul Le Mat,
Cindy Williams,
Candy Clark",N/A,American Graffiti 2
08/03/1979,North Dallas Forty,A veteran North Dallas Bulls wide receiver finds his individuality and refusal to become part of the team family bothering his disciplinarian coaches.,Ted Kotcheff,"Nick Nolte,
Mac Davis,
Charles Durning",John Scott,
08/15/1979,Apocalypse Now,"In 1970, a U.S. Army officer serving in Vietnam is tasked with assassinating rogue Special Forces Colonel Kurtz, who sees himself as a demigod.",Francis Ford Coppola,"Marlon Brando,
Robert Duvall,
Martin Sheen","Carmine Coppola,
Francis Ford Coppola",
08/17/1979,Monty Python's Life of Brian,"Born on the original Christmas in the stable next door to Jesus, Jewish-Roman Brian of Nazareth spends his life being mistaken for a messiah.",Terry Jones,"Graham Chapman,
John Cleese,
Terry Gilliam",Geoffrey Burgon,
10/19/1979,...And Justice for All.,"In Baltimore, a lawyer is forced to defend a guilty judge while supporting two innocent clients: one mistaken for someone else and one transgender.",Norman Jewison,"Al Pacino,
Jack Warden,
John Forsythe",Dave Grusin,
12/07/1979,Star Trek: The Motion Picture,"When a destructive alien spacecraft approaches Earth, Admiral Kirk resumes command of the overhauled USS Enterprise to intercept it.",Robert Wise,"William Shatner,
Leonard Nimoy,
DeForest Kelley",Jerry Goldsmith,
12/14/1979,1941,"After Japan's attack on Pearl Harbor, Californians both in the army and not in it descend into a wild panic. A Japanese submarine is actually arriving.",Steven Spielberg,"Dan Aykroyd,
Ned Beatty,
John Belushi",John Williams,
12/14/1979,The Jerk,"The naive, white adopted son of a black family leaves to experience life in St. Louis. He invents the Opti-Grab for slippery glasses and finds love.",Carl Reiner,"Steve Martin,
Bernadette Peters,
Catlin Adams",Jack Elliott,
12/19/1979,Kramer vs. Kramer,Ad executive Ted's wife Johanna leaves him and their son Billy. They bond despite a park accident. Johanna returns and starts a hard custody battle.,Robert Benton,"Dustin Hoffman,
Meryl Streep,
Jane Alexander","Paul Gemignani,
Herb Harris,
John Kander",
12/20/1979,All That Jazz,"Joe is a theater director and choreographer trying to balance staging his latest Broadway musical, NY/LA, while editing his own film, The Stand-Up.",Bob Fosse,"Roy Scheider,
Jessica Lange,
Ann Reinking",Ralph Burns,
12/21/1979,The Black Hole,"The USS Palomino is exploring deep space when it finds a lost ship. The crew board it to find only one human survivor, a scientist who built drones.",Gary Nelson,"Maximilian Schell,
Anthony Perkins,
Robert Forster",John Barry,
12/21/1979,The Electric Horseman,"Sonny Steele, a rodeo star past his prime, steals his company's injured horse and absconds with a feisty television reporter to release it into the wild.",Sydney Pollack,"Robert Redford,
Jane Fonda,
Valerie Perrine",Dave Grusin,
