Release,Title,Synopsis,Directed By,Lead Actors,Music By,Notes
12/14/1984,Nineteen Eighty-Four,"A low-ranking civil servant in a war-torn London ruled by Oceania, a totalitarian superstate, works to maintain his sanity and rebels by falling in love.",Michael Radford,"John Hurt,
Richard Burton,
Suzanna Hamilton","Dominic Muldowney,
Eurythmics",
12/14/1984,Runaway,"In the near future, a police officer specializes in malfunctioning robots. He begins to uncover a homicidal plot to create killer robots.",Michael Crichton,"Tom Selleck,
Cynthia Rhodes,
Gene Simmons",Jerry Goldsmith,
12/14/1984,Starman,"After his ship is shot down, an alien takes widow Jenny's husband's form and asks her to drive him from Wisconsin to Arizona to prevent him dying.",John Carpenter,"Jeff Bridges,
Karen Allen,
Charles Martin Smith",Jack Nitzsche,
12/14/1984,The Cotton Club,"Musician Dixie begins working with mobsters to advance his career but falls in love with Vera, the girlfriend of gangland leader Dutch, in a jazz club.",Francis Ford Coppola,"Richard Gere,
Gregory Hines,
Diane Lane",John Barry,
12/21/1984,Johnny Dangerously,"In the 1930s, an honest, good-hearted man is forced to turn to a life of crime to finance his neurotic mother's skyrocketing medical bills.",Amy Heckerling,"Michael Keaton,
Joe Piscopo,
Marilu Henner",John Morris,
12/21/1984,The Flamingo Kid,"Recent high school graduate Jeffrey, quite unsure of his future, starts a summer job at the Flamingo beach club, and meets the charismatic Phil Brody.",Garry Marshall,"Matt Dillon,
Richard Crenna,
Héctor Elizondo",Curt Sobel,
01/18/1985,Blood Simple,The owner of a small-town Texas bar discovers one of his employees having an affair with his wife. He devises a plot to have them murdered.,"Joel Coen,
Ethan Coen","John Getz,
Frances McDormand,
Dan Hedaya",Carter Burwell,
01/25/1985,Fandango,"In 1971, five college buddies from the University of Texas embark on a final road trip across the Mexican border before uncertain Vietnam futures.",Kevin Reynolds,"Kevin Costner,
Judd Nelson,
Sam Robards",Alan Silvestri,
01/25/1985,The Falcon and the Snowman,Falconry expert Boyce and his drug pusher friend Lee become volunteer spies for the Soviet Union. Lee's irrationality worries their KGB handler Alex.,John Schlesinger,"Timothy Hutton,
Sean Penn,
Pat Hingle","Lyle Mays,
Pat Metheny",
02/08/1985,Witness,"When an Amish widow's son is the only person to see a police officer be murdered, detective John Book goes into hiding to protect him until the trial.",Peter Weir,"Harrison Ford,
Kelly McGillis,
Lukas Haas",Maurice Jarre,
02/15/1985,The Breakfast Club,"Five Shermer High School students from different cliques meet in Saturday detention, learn of some common interests, and write a 1,000-word essay.",John Hughes,"Emilio Estevez,
Paul Gleason,
Anthony Michael Hall","Keith Forsey,
Gary Chang",
02/15/1985,The Mean Season,"When a teenager is shot at the beach, a journalist from the Miami Journal is sent to cover the story. The murderer calls claiming there'll be four more.",Phillip Borsos,"Kurt Russell,
Mariel Hemingway,
Richard Jordan",Lalo Schifrin,
02/15/1985,Vision Quest,"In Spokane, high school wrestler Louden plans to lose 22 pounds to fight an unbeatable champion. His relationship with boarder Carla distracts him.",Harold Becker,"Matthew Modine,
Linda Fiorentino,
Michael Schoeffling",Tangerine Dream,
03/01/1985,The Purple Rose of Cairo,"In 1935 New Jersey, a movie character walks off the screen to meet a waitress who sat through his movie many times. They converse and fall in love.",Woody Allen,"Mia Farrow,
Jeff Daniels,
Danny Aiello",Dick Hyman,
03/01/1985,The Sure Thing,"A university freshman seeking an ideal match and his English classmate with a UCLA boyfriend take a long road trip out to California, both with plans.",Rob Reiner,"John Cusack,
Daphne Zuniga,
Viveca Lindfors",Tom Scott,
03/08/1985,Mask,"In 1978 Azusa, teenager Rocky, who has a facial skull deformity, and his biker gang mother desire normal lives. He joins a school and falls in love.",Peter Bogdanovich,"Cher,
Sam Elliott,
Eric Stoltz",Dennis Ricotta,
03/22/1985,Friday the 13th: A New Beginning,"Tommy, who killed Jason Voorhees as a child, wonders if the serial killer is connected murders in and around the halfway house where he lives.",Danny Steinmann,"Melanie Kinnaman,
John Shepherd,
Shavar Ross",Harry Manfredini,Friday the 13th 5
03/22/1985,The Last Dragon,"In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.",Michael Schultz,"Taimak,
Julius J. Carry III,
Chris Murney","Bruce Miller,
Misha Segal",
03/29/1985,Desperately Seeking Susan,A New Jersey suburban housewife's fascination with a couple's personal column messages leads to her being mistaken for the woman herself.,Susan Seidelman,"Rosanna Arquette,
Aidan Quinn,
Madonna",Thomas Newman,
03/29/1985,Police Academy 2: Their First Assignment,"Mahoney and five other top graduates are sent to the worst precinct in the city, run by Eric Lassard's brother Pete. They encounter the Scullions gang.",Jerry Paris,"Steve Guttenberg,
Bubba Smith,
David Graf",Robert Folk,
04/12/1985,Cat's Eye,"A stray cat links tales of a man quitting smoking, an adulterous man forced by his lover's husband onto a ledge, and a girl threatened by a gnome.",Lewis Teague,"Drew Barrymore,
James Woods,
Alan King",Alan Silvestri,
04/12/1985,Girls Just Want to Have Fun,"Army brat Janey is new in town and meets Lynne, who shares her passion for dancing and the show Dance TV in particular. They both audition for it.",Alan Metter,"Sarah Jessica Parker,
Lee Montgomery,
Morgan Woodward",Thomas Newman,
04/12/1985,Ladyhawke,"In Italy, thief Phillipe meets warrior Navarre, who becomes a wolf by night, and his wife Isabeau, a hawk by day. They fight with the Bishop of Aquila.",Richard Donner,"Matthew Broderick,
Rutger Hauer,
Michelle Pfeiffer",Andrew Powell,
04/19/1985,The Company of Wolves,A teenage girl in a country manor falls asleep and has a disturbing dream involving wolves prowling the woods below her bedroom window.,Neil Jordan,"Angela Lansbury,
David Warner,
Micha Bergese",George Fenton,
04/26/1985,Just One of the Guys,"In Phoenix, a teenage journalist believes she is rejected for a newspaper because she is female. She enrolls at a rival school disguised as a guy.",Lisa Gottlieb,"Joyce Hyser,
Clayton Rohner,
Billy Jacoby",Tom Scott,
05/22/1985,Brewster's Millions,"A minor league baseball player has to spend $30 million in 30 days to inherit $300 million. But, he's not allowed to own assets, destroy the money, gift it, give it to charity, or tell anyone about the deal.",Walter Hill,"Richard Pryor,
John Candy,
Lonette McKee",Ry Cooder,
05/22/1985,Rambo: First Blood Part II,Rambo leaves prison to return to Vietnam on a mission to infiltrate an enemy base camp and to save the American POWs still held captive there.,George P. Cosmatos,"Sylvester Stallone,
Richard Crenna,
Charles Napier",Jerry Goldsmith,
05/22/1985,Trancers,"Gruff bounty hunter Jack travels back in time to 1980s Los Angeles to stop a twisted criminal who can transform people into twisted, savage killers.",Charles Band,"Tim Thomerson,
Helen Hunt,
Michael Stefani","Phil Davies,
Mark Ryder",
05/24/1985,A View to a Kill,"Bond finds a microchip on a fellow agent's body and is led to industrialist Max Zorin and May Day, his bodyguard, who plan to destroy Silicon Valley.",John Glen,"Roger Moore,
Tanya Roberts,
Grace Jones",John Barry,James Bond 14
05/31/1985,Fletch,"A newspaper reporter is offered a large sum to kill a cancerous millionaire, but he goes on the run, risking his job, when it is clear the man is healthy.",Michael Ritchie,"Chevy Chase,
Joe Don Baker,
Dana Wheeler-Nicholson",Harold Faltermeyer,
06/07/1985,Perfect,"Journalist Adam is assigned to do an exposé on L.A. fitness clubs. He falls for aerobics instructor Jessie, a former swimmer who dislikes the press.",James Bridges,"John Travolta,
Jamie Lee Curtis,
Anne De Salvo",Narada Michael Walden,
06/07/1985,The Goonies,"In Oregon, kids attempt to save their homes from foreclosure by unearthing the treature of a pirate. The Fratelli family of criminals want it themselves.",Richard Donner,"Sean Astin,
Josh Brolin,
Jeff Cohen",Dave Grusin,
06/14/1985,Prizzi's Honor,"In New York, a hitman who works for the Mafia falls for a freelance killer at a wedding. They team up for a mission but are ordered to kill each other.",John Huston,"Jack Nicholson,
Kathleen Turner,
Anjelica Huston",Alex North,
06/21/1985,Cocoon,"When trespassing seniors swim in an indoor pool with alien cocoons, they gain youthful vigor. They soon negotiate with peaceful aliens for its usage.",Ron Howard,"Don Ameche,
Wilford Brimley,
Hume Cronyn",James Horner,
06/21/1985,Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful.",Walter Murch,"Nicol Williamson,
Jean Marsh,
Piper Laurie",David Shire,
06/28/1985,Pale Rider,"In California, a horseman known as the Preacher protects a humble prospector village from an evil mining company trying to encroach on their land.",Clint Eastwood,"Clint Eastwood,
Michael Moriarty,
Carrie Snodgress",Lennie Niehaus,
06/28/1985,St. Elmo's Fire,"In Washington, D.C., new Georgetown graduates who often gather at a bar adjust to post-university life and the responsibilities of adulthood and love.",Joel Schumacher,"Rob Lowe,
Demi Moore,
Emilio Estevez",David Foster,
07/03/1985,Back to the Future,"17-year-old Marty is sent to 1955, 30 years ago, in a time-traveling car built by a doctor. He must rekindle his parents' romance to return to 1985.",Robert Zemeckis,"Michael J. Fox,
Christopher Lloyd,
Lea Thompson",Alan Silvestri,
07/03/1985,Day of the Dead,A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.,George A. Romero,"Lori Cardille,
Terry Alexander,
Joe Pilato",John Harrison,Night of the Living Dead 3
07/03/1985,Red Sonja,A warrior sets out with a magic sword to avenge her family's murder and take the Talisman from an evil queen. A prince and his guard join her.,Richard Fleischer,"Brigitte Nielsen,
Arnold Schwarzenegger,
Sandahl Bergman",Ennio Morricone,
07/10/1985,Mad Max Beyond Thunderdome,"After being exiled from the most advanced town in future Australia, a drifter travels with a group of abandoned children to rebel against its queen.","George Miller,
George Ogilvie","Mel Gibson,
Tina Turner,
Bruce Spence",Maurice Jarre,Mad Max 3
07/10/1985,Silverado,"In the 1880s, a rambling man assembles misfit cowboys, including two brothers, to protect a town from a greedy cattle rancher and a corrupt sheriff.",Lawrence Kasdan,"Kevin Kline,
Scott Glenn,
Rosanna Arquette",Bruce Broughton,
07/12/1985,Explorers,"A teen obsessed with alien movies has a dream about a blueprint, which he draws for his inventor friend. With a third boy, they build a spaceship.",Joe Dante,"Ethan Hawke,
River Phoenix,
Jason Presson",Jerry Goldsmith,
07/19/1985,The Man with One Red Shoe,"To send the CIA on a goose chase, a director has a concert violinist picked out of an airport crowd thought to be able to clear the director of scandal.",Stan Dragoti,"Tom Hanks,
Dabney Coleman,
Lori Singer",Thomas Newman,
07/24/1985,The Black Cauldron,A young boy and a bunch of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.,"Ted Berman,
Richard Rich","Grant Bardsley,
Susan Sheridan,
Nigel Hawthorne",Elmer Bernstein,
07/26/1985,Kiss of the Spider Woman,"In Brazil, an effeminate homosexual and a leftist political prisoner are together in a prison. The gay man narrates two fake movies and his own life.",Héctor Babenco,"William Hurt,
Raul Julia,
Sonia Braga","Nando Carneiro,
John Neschling",
07/26/1985,National Lampoon's European Vacation,"The Griswolds win a free vacation to Europe on a game show. They do their best to catch its flavor in London, Paris, and Rome, but chaos ensues.",Amy Heckerling,"Chevy Chase,
Beverly D'Angelo,
Dana Hill",Charles Fox,Vacation 2
08/02/1985,Fright Night,"A teenager discovers that the new neighbor is a vampire, so he turns to an actor on a television horror show for help dealing with the undead.",Tom Holland,"Chris Sarandon,
William Ragsdale,
Amanda Bearse",Brad Fiedel,
08/02/1985,Sesame Street Presents: Follow That Bird,"Big Bird is forced to live with dodos by a social worker. They dislike non-birds, so he runs away, prompting Sesame Street residents to find him.",Ken Kwapis,"Caroll Spinney,
Jim Henson,
Frank Oz","Van Dyke Parks,
Lennie Niehaus",
08/02/1985,Weird Science,Two high school nerds use a computer program to create perfect woman Lisa with her own magic powers. She helps them with a party and bikers.,John Hughes,"Anthony Michael Hall,
Ilan Mitchell-Smith,
Kelly LeBrock",Ira Newborn,
08/07/1985,Real Genius,"Teenage geniuses help develop a high-powered laser for a university project, but their professor intends to turn their work into a military weapon.",Martha Coolidge,"Val Kilmer,
Gabe Jarret,
Michelle Meyrink",Thomas Newman,
08/09/1985,Pee-wee's Big Adventure,"When eccentric man-child Pee-wee Herman gets his beloved bike stolen in broad daylight, he sets out across the U.S. on the adventure of his life.",Tim Burton,"Paul Reubens,
E. G. Daily,
Mark Holton",Danny Elfman,Pee-wee 1
08/15/1985,American Flyers,"Marcus takes his brother with him for a physical test and brain scan to check if, like their dad, they have cerebral aneurysms before a big bike race.",John Badham,"Kevin Costner,
David Grant,
Rae Dawn Chong","Greg Mathieson,
Lee Ritenour",
08/16/1985,The Return of the Living Dead,"When two bumbling employees at a medical supply warehouse accidentally release a gas, the vapors cause the dead to rise as zombies.",Dan O'Bannon,"Clu Gulager,
James Karen,
Don Calfa","Matt Clifford,
Francis Haines",
08/23/1985,Better Off Dead,"After high school student Lane's girlfriend leaves him for the ski team captain, he attempts suicide. He fails but befriends a French exchange student.",Savage Steve Holland,"John Cusack,
Curtis Armstrong,
Diane Franklin",Rupert Hine,
08/23/1985,Teen Wolf,An ordinary high school student discovers that his family has an unusual pedigree when he finds himself turning into a werewolf.,Rod Daniel,"Michael J. Fox,
James Hampton,
Scott Paulin",Miles Goodman,
08/23/1985,The Protector,"Two New York City cops, Billy Wong and Danny Garoni, head to Hong Kong after the daughter of a rich businessman is kidnapped by a drug lord.",James Glickenhaus,"Jackie Chan,
Danny Aiello,
Roy Chiao",Ken Thorne,
09/13/1985,After Hours,A computer data entry worker has the worst night of his life while making his way home from New York's SoHo district after meeting Marcy at a café.,Martin Scorsese,"Griffin Dunne,
Rosanna Arquette,
Verna Bloom",Howard Shore,
09/27/1985,The Journey of Natty Gann,"In 1935, teenage tomboy Natty runs away from a guardian in Chicago to join her lumberjack father Sol. She encounters traveler Harry and a wolfdog.",Jeremy Kagan,"Meredith Salenger,
John Cusack,
Ray Wise",James Horner,
10/04/1985,Commando,Retired Special Forces colonel John Matrix tries to save his daughter from a former teammate and an ex-dictator who blackmails him to assassinate.,Mark L. Lester,"Arnold Schwarzenegger,
Rae Dawn Chong,
Vernon Wells",James Horner,
10/04/1985,Jagged Edge,A wealthy woman is killed in a beach house. Her husband claims he was knocked out and inherits all. A female ex-lawyer represents him in court.,Richard Marquand,"Glenn Close,
Jeff Bridges,
Peter Coyote",John Barry,
10/11/1985,Silver Bullet,"In 1976 Maine, barbaric murders plague a close community. Paraplegic boy Marty, his sister Jane, and their uncle Red think a werewolf is to blame.",Dan Attias,"Corey Haim,
Gary Busey,
Everett McGill",Jay Chattaway,
10/18/1985,Re-Animator,"After an odd medical student arrives on campus, another student and his girlfriend are involved in experiments of reanimation of dead tissue.",Stuart Gordon,"Jeffrey Combs,
Bruce Abbott,
Barbara Crampton",Richard Band,
10/25/1985,Krush Groove,"Russell has signed hot acts to his record label. When Run-D.M.C. has a record, but he lacks the funds to press them, a hustler lends him money.",Michael Schultz,"Blair Underwood,
Sheila E.,
Run-D.M.C.",David Lombard,
11/01/1985,A Nightmare on Elm Street 2: Freddy's Revenge,"A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.",Jack Sholder,"Mark Patton,
Kim Myers,
Robert Rusler",Christopher Young,
11/01/1985,Death Wish 3,Architect vigilante Paul Kersey goes to New York to visit a war buddy and is forcibly recruited by a crooked police chief to fight neighborhood gangs.,Michael Winner,"Charles Bronson,
Deborah Raffin,
Ed Lauter","Jimmy Page,
Mike Moran",
11/15/1985,Once Bitten,A 400-year-old vampire countess needs to drink the blood of a virgin in order to keep her eternal beauty. She finds a high school student at a bar.,Howard Storm,"Lauren Hutton,
Jim Carrey,
Karen Kopins",John Du Prez,
11/22/1985,One Magic Christmas,Santa assigns angel Gideon to show the stressed mother of Cal and Abbie what Christmas means. Her husband Jack is fatally shot by a bank robber.,Phillip Borsos,"Mary Steenburgen,
Gary Basaraba,
Harry Dean Stanton",Michael Conway Baker,
11/27/1985,Rocky IV,"Trained by Rocky, Apollo fights the Soviet boxer Ivan Drago but dies in the ring. Angry at Drago, Rocky challenges him himself in the Soviet Union.",Sylvester Stallone,"Sylvester Stallone,
Talia Shire,
Burt Young",Vince DiCola,
12/04/1985,Young Sherlock Holmes,"In a London school, Holmes and Watson become friends. When people have inexplicable delusions that lead to deaths, the two and a girl investigate.",Barry Levinson,"Nicholas Rowe,
Alan Cox,
Anthony Higgins",Bruce Broughton,
12/06/1985,Spies Like Us,"Two novice intelligent agents think they are U.S. spies in the Soviet Union, but they discover that they are actually attention decoys for nuclear war.",John Landis,"Chevy Chase,
Dan Aykroyd,
Steve Forrest","Elmer Bernstein,
Paul McCartney",
12/11/1985,The Jewel of the Nile,"When Joan is abducted while on a trip along the Nile, her boyfriend Jack and pal Ralph rush to rescue her and retrieve a fabled jewel.",Lewis Teague,"Michael Douglas,
Kathleen Turner,
Danny DeVito",Jack Nitzsche,Romancing the Stone 2
12/13/1985,A Chorus Line,"On Broadway, stern director Zach is casting eight dancers, four men and four women, for a musical production. Diverse hopefuls try to impress him.",Richard Attenborough,"Michael Douglas,
Alyson Reed,
Terrence Mann","Marvin Hamlisch,
Edward Kleban",
12/13/1985,Clue,"In 1954, six guests are invited to a quiet mansion for dinner. After their host is killed, they must all cooperate with the staff to identify the murderer.",Jonathan Lynn,"Eileen Brennan,
Tim Curry,
Madeline Kahn",John Morris,
12/18/1985,Brazil,"In a dystopia, bureaucrat Sam escapes monotony through a daydream of himself saving a damsel. Pursuing her, he becomes an enemy of the state.",Terry Gilliam,"Jonathan Pryce,
Robert De Niro,
Katherine Helmond",Michael Kamen,
12/18/1985,The Color Purple,"In Georgia, a black Southern woman struggles to find her identity after suffering abuse from her father and her husband, but befriends a showgirl.",Steven Spielberg,"Whoopi Goldberg,
Danny Glover,
Oprah Winfrey",Quincy Jones,
12/20/1985,Enemy Mine,"During a long space war between humans and Dracs, the lives of two wounded enemies become dependent on their ability to forgive and to trust.",Wolfgang Petersen,"Dennis Quaid,
Louis Gossett Jr.,
Brion James",Maurice Jarre,
12/20/1985,Out of Africa,"In 1913, wealthy Dane Karen moves to Africa and marries a baron who spends all her money on a coffee plantation. She falls for a big-game hunter.",Sydney Pollack,"Robert Redford,
Meryl Streep,
Klaus Maria Brandauer",John Barry,
12/20/1985,Ran,"In Medieval Japan, an elderly warlord leaves his empire to his three sons. Their newfound power corrupts them and turns them against each other.",Akira Kurosawa,"Tatsuya Nakadai,
Akira Terao,
Jinpachi Nezu",Toru Takemitsu,
01/17/1986,Iron Eagle,Young pilot Doug plans a rescue mission after his Air Force Colonel father is shot down and placed on trial by enemies. Veteran Chappy teaches him.,Sidney J. Furie,"Louis Gossett Jr.,
Jason Gedrick,
David Suchet",Basil Poledouris,
01/31/1986,The Best of Times,A banker ashamed of dropping a perfectly thrown pass in a high school football game 13 years ago coerces its quarterback to help replay the game.,Roger Spottiswoode,"Robin Williams,
Kurt Russell,
Pamela Reed",Arthur B. Rubinstein,
02/07/1986,Hannah and Her Sisters,"Between two Thanksgivings, Hannah's husband falls in love with her sister, while her ex-husband rekindles his relationship with her second sister.",Woody Allen,"Woody Allen,
Michael Caine,
Mia Farrow",N/A,
02/14/1986,Wildcats,A rookie high school football coach has a difficult time whipping her inner-city team into shape. She also battles for custody of her young daughters.,Michael Ritchie,"Goldie Hawn,
James Keach,
Swoosie Kurtz",James Newton Howard,
02/21/1986,The Hitcher,A young man who escapes the clutches of a murderous hitchhiker is subsequently stalked by him and framed for his crimes.,Robert Harmon,"Rutger Hauer,
C. Thomas Howell,
Jeffrey DeMunn",Mark Isham,
02/28/1986,Pretty in Pink,"In Chicago, poor Andie, who lives with her father, must choose between her semi-loser best friend Duckie and the rich but sensitive playboy Blane.",Howard Deutch,"Molly Ringwald,
Harry Dean Stanton,
Jon Cryer",Michael Gore,
03/07/1986,Highlander,"Immortal Scottish swordsman Connor challenges the final of his immortal opponents, the Kurgan, a savage barbarian who desires the powerful Prize.",Russell Mulcahy,"Christopher Lambert,
Roxanne Hart,
Clancy Brown",Michael Kamen,
03/14/1986,Gung Ho,"When a Pennsylvania auto plant is acquired by a Japanese company, an auto worker and a lenient executive moderate a culture clash of attitudes.",Ron Howard,"Michael Keaton,
Gedde Watanabe,
George Wendt",Thomas Newman,
03/21/1986,Police Academy 3: Back in Training,"When one of two cop academies will close, Eric Lassard recruits Mahoney and other sergeants to train cadets and hopefully rescue their academy.",Jerry Paris,"Steve Guttenberg,
Bubba Smith,
David Graf",Robert Folk,
03/26/1986,The Money Pit,"After being evicted, attorney Walter and musician girlfriend Anna buy a mansion for only $200,000, but it quickly falls apart with growing repair costs.",Richard Benjamin,"Tom Hanks,
Shelley Long,
Alexander Godunov",Michel Colombier,
03/28/1986,Lucas,"A socially inept 14-year-old in Chicago has his heart broken when his two best friends, a girl new to town and an older-brother figure, fall in love.",David Seltzer,"Corey Haim,
Charlie Sheen,
Kerri Green",Dave Grusin,
04/11/1986,Critters,"Small, vicious Krites escape from a prison vessel and land near a small Kansas farm, fended off by two shape-shifting bounty hunters and a family.",Stephen Herek,"Dee Wallace-Stone,
M. Emmet Walsh,
Billy Green Bush",David Newman,
04/18/1986,At Close Range,"Reunited with his career criminal father, tough teenager Brad thinks he has found his ticket to an exciting life of crime, but the FBI plan to use him.",James Foley,"Sean Penn,
Christopher Walken,
Mary Stuart Masterson",Patrick Leonard,
04/18/1986,Legend,A pure being must stop the Lord of Darkness from casting the world in eternal night by killing the last of unicorns. He also seeks a ring for a princess.,Ridley Scott,"Tom Cruise,
Mia Sara,
Tim Curry",Tangerine Dream,
05/02/1986,Blue City,"Drifter Billy returns to his Florida hometown only to find that his father, the town's local mayor, was murdered. He vows to hunt his killer for revenge.",Michelle Manning,"Judd Nelson,
Ally Sheedy,
David Caruso",Ry Cooder,
05/02/1986,"Jo Jo Dancer, Your Life Is Calling","After severely burning himself in a drug incident, a comedian has a near-death experience in which he reviews his life as a spirit watching his past.",Richard Pryor,"Richard Pryor,
Paula Kelly,
Art Evans",Herbie Hancock,
05/09/1986,Short Circuit,"Number 5 of a group of experimental robots in a lab is electrocuted, suddenly becomes intelligent, and escapes.",John Badham,"Ally Sheedy,
Steve Guttenberg,
Fisher Stevens",David Shire,
05/16/1986,Top Gun,"As students at the Navy's elite fighter weapons school compete to be the best, one daring young pilot learns a few things from a civilian instructor.",Tony Scott,"Tom Cruise,
Kelly McGillis,
Val Kilmer",Harold Faltermeyer,
05/23/1986,Cobra,"In L.A., a tough street cop must protect a witness to crimes of the New World, a supremacist cult led by the Night Slasher that aims to kill the weak.",George P. Cosmatos,"Sylvester Stallone,
Brigitte Nielsen,
Reni Santoni",Sylvester Levay,
05/23/1986,Poltergeist II: The Other Side,"The Freeling family's daughter is wanted by the spirit of a preacher who led an apocalyptic cult. To save her, they turn to a Native American shaman.",Brian Gibson,"JoBeth Williams,
Craig T. Nelson,
Heather O'Rourke",Jerry Goldsmith,
06/11/1986,Ferris Bueller's Day Off,"In Chicago, a high school slacker skips school for one day with his girlfriend and his hypochondriac best friend. Their principal attempts to catch him.",John Hughes,"Matthew Broderick,
Mia Sara,
Alan Ruck",Ira Newborn,
06/13/1986,Back to School,"To help his glum diver son Jason endure college, uneducated corporate giant Thornton enrolls as a student. He falls for a teacher and annoys a dean.",Alan Metter,"Rodney Dangerfield,
Sally Kellerman,
Burt Young",Danny Elfman,
06/18/1986,Legal Eagles,"In Manhattan, district attorney Tom helps and flirts with his adversary and her kooky artist client, who is on trial for a murder linked to missing paintings.",Ivan Reitman,"Robert Redford,
Debra Winger,
Daryl Hannah",Elmer Bernstein,
06/20/1986,The Karate Kid Part II,"Daniel goes with Mr. Miyagi to his childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and makes a new rival of his own.",John G. Avildsen,"Ralph Macchio,
Noriyuki ""Pat"" Morita,
Tamlyn Tomita",Bill Conti,
06/27/1986,Labyrinth,16-year-old Sarah is given 13 hours to rescue her baby brother from a maze when her wish for him to be taken away is granted by the Goblin King.,Jim Henson,"David Bowie,
Jennifer Connelly,
Christopher Malcolm",Trevor Jones,
06/27/1986,Running Scared,Two streetwise Chicago cops shake off rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,Peter Hyams,"Gregory Hines,
Billy Crystal,
Steven Bauer",Rod Temperton,
07/02/1986,About Last Night,"In Chicago, a man and woman meet and try to have a romantic affair, despite personal problems and the interference of their disapproving friends.",Edward Zwick,"Rob Lowe,
Demi Moore,
James Belushi",Miles Goodman,
07/02/1986,Big Trouble in Little China,"In San Francisco Chinatown, trucker Jack Burton helps rescue a friend's green-eyed fiancée from bandits and an ancient cursed sorcerer, Lo Pan.",John Carpenter,"Kurt Russell,
Kim Cattrall,
Dennis Dun","John Carpenter,
Alan Howarth",
07/02/1986,Psycho III,"Norman Bates falls in love with a fallen nun who stays at the Bates Motel alongside a drifter and a curious reporter. Meanwhile, ""Mother"" watches.",Anthony Perkins,"Anthony Perkins,
Diana Scarwid,
Jeff Fahey",Carter Burwell,
07/02/1986,The Great Mouse Detective,"In 1897 London, young mouse Olivia hires Basil, a rodent detective, to investigate the kidnapping of her toymaker father by his evil rival's assistant.","Ron Clements,
Burny Mattinson,
Dave Michener,
John Musker","Vincent Price,
Barrie Ingham,
Val Bettin",Henry Mancini,
07/11/1986,Club Paradise,Retired Chicago firefighter Jack partners up with a reggae singer to turn a Caribbean nightclub into a resort for rich tourists like an island's governor.,Harold Ramis,"Robin Williams,
Peter O'Toole,
Rick Moranis","David Mansfield,
Van Dyke Parks",
07/18/1986,Aliens,"Having slept for 57 years, Ripley joins a salvage team on trip to a moon. They find a 9-year-old girl and a horde of aliens that have invaded a colony.",James Cameron,"Sigourney Weaver,
Michael Biehn,
Paul Reiser",James Horner,Alien 2
07/18/1986,Vamp,"Two fraternity pledges travel to a sleazy bar in search of a stripper for their college friends, unaware it is occupied by vampires.",Richard Wenk,"Chris Makepeace,
Robert Rusler,
Grace Jones",Jonathan Elias,
07/25/1986,Heartburn,"A Manhattan food writer meets a Washington, D.C. columnist at a wedding and builds a life with him despite her reservations and his womanizing.",Mike Nichols,"Meryl Streep,
Jack Nicholson,
Stockard Channing",Carly Simon,
07/25/1986,Maximum Overdrive,"As Earth crosses a comet's tail, static machines come to life and start homicidal rampages. A set of folks at a truck stop are held hostage by trucks.",Stephen King,"Emilio Estevez,
Pat Hingle,
Laura Harrington",AC/DC,
07/30/1986,Nothing in Common,"In Chicago, advertising executive David finds his freewheeling life crashing to a halt after his father Max and mother Lorraine end their long marriage.",Garry Marshall,"Tom Hanks,
Jackie Gleason,
Eva Marie Saint",Patrick Leonard,
08/01/1986,Flight of the Navigator,"In 1978, a boy travels 8 years into the future and has an adventure with an intelligent, wisecracking alien ship.",Randal Kleiser,"Joey Cramer,
Paul Reubens,
Veronica Cartwright",Alan Silvestri,
08/01/1986,Friday the 13th Part VI: Jason Lives,"Tommy Jarvis goes to the graveyard to get rid of Jason Voorhees' body once and for all, but inadvertently brings him back to life instead.",Tom McLoughlin,"Thom Mathews,
Jennifer Cooke,
David Kagen",Harry Manfredini,
08/01/1986,Howard the Duck,"A sarcastic duck is pulled from his homeworld to Earth, where he must stop an alien invasion with the help of a scientist and a female rock singer.",Willard Huyck,"Lea Thompson,
Jeffrey Jones,
Tim Robbins","John Barry,
Sylvester Levay,
Thomas Dolby",
08/08/1986,She's Gotta Have It,"In Brooklyn, Nola has three sexual relationships with suitors that want her to commit to them. She resists being owned even when they share notes.",Spike Lee,"Tracy Camilla Johns,
Redmond Hicks,
John Canada Terrell",Bill Lee,
08/08/1986,Stand by Me,"After the death of one of his friends, writer Gordie recalls a 1959 childhood quest with friends Chris, Teddy, and Vern to find the body of a missing boy.",Rob Reiner,"Wil Wheaton,
River Phoenix,
Corey Feldman",Jack Nitzsche,
08/08/1986,The Transformers: The Movie,"In 2005, the Autobots fight to take back Cybertron from Decepticons. Giant Unicron plans to eat it so creates Galvatron to get the Matrix of Leadership.",Nelson Shin,"Eric Idle,
Judd Nelson,
Leonard Nimoy",Vince DiCola,
