Name,Movies,Awards,Notes
Joel Schumacher,"St. Elmo's Fire (1985), The Lost Boys (1987), Flatliners (1990), Dying Young (1991), Falling Down (1993), The Client (1994), Batman Forever (1995), A Time to Kill (1996), Batman & Robin (1997), 8mm (1999), Bad Company (2002), Phone Booth (2003), The Phantom of the Opera (2004), The Number 23 (2007), Trespass (2011)",,
John Carpenter,"Dark Star (1975), Assault on Precinct 13 (1976), Halloween (1978), The Fog (1980), Escape from New York (1981), The Thing (1982), Christine (1983), Starman (1984), Big Trouble in Little China (1986), Prince of Darkness (1987), They Live (1988), Memoirs of an Invisible Man (1992), In the Mouth of Madness (1995), Village of the Damned (1995), Escape from L.A. (1996), Vampires (1998), Ghosts of Mars (2001), The Ward (2011)",,
John Ford,"The Informer (1935), Stagecoach (1939), Young Mr. Lincoln (1939), The Grapes of Wrath (1940), How Green Was My Valley (1941), My Darling Clementine (1946), The Quiet Man (1952), Mister Roberts (1955), The Searchers (1956), The Man Who Shot Liberty Valance (1962), How the West Was Won (1963), Cheyenne Autumn (1964)","The Informer (1935), Stagecoach (1939), The Grapes of Wrath (1940), How Green Was My Valley (1941), The Quiet Man (1952)",
John Hughes,"Sixteen Candles (1984), The Breakfast Club (1985), Weird Science (1985), Ferris Bueller's Day Off (1986), Planes, Trains and Automobiles (1987), Uncle Buck (1989), Curly Sue (1991)",,
John Huston,"The Maltese Falcon (1941), The Treasure of the Sierra Madre (1948), Key Largo (1948), The Asphalt Jungle (1950), The African Queen (1951), Moulin Rouge (1952), Moby Dick (1956), The Misfits (1961), Casino Royale (1967), The Man Who Would Be King (1975), Escape to Victory (1981), Annie (1982), Prizzi's Honor (1985)","The Treasure of the Sierra Madre (1948), The Asphalt Jungle (1950), The African Queen (1951), Moulin Rouge (1952), Prizzi’s Honor (1985)",
John Krasinski,"A Quiet Place (2018), A Quiet Place Part II (2021)",,
John Landis,"National Lampoon's Animal House (1978), The Blues Brothers (1980), An American Werewolf in London (1981), Trading Places (1983), Twilight Zone: The Movie (1983), Spies Like Us (1985), Three Amigos (1986), Coming to America (1988), Oscar (1991), Beverly Hills Cop III (1994), Blues Brothers 2000 (1998)",,
John Madden,"Mrs Brown (1997), Shakespeare in Love (1998), The Best Exotic Marigold Hotel (2012), The Second Best Exotic Marigold Hotel (2015)",Shakespeare in Love (1998),
John McTiernan,"Predator (1987), Die Hard (1988), The Hunt for Red October (1990), Medicine Man (1992), Last Action Hero (1993), Die Hard with a Vengeance (1995), The Thomas Crown Affair (1999), The 13th Warrior (1999), Basic (2003)",,
John Milius,"Conan the Barbarian (1982), Red Dawn (1984)",,
John Singleton,"Boyz n the Hood (1991), Poetic Justice (1993), Higher Learning (1995), Rosewood (1997), Shaft (2000), Baby Boy (2001), 2 Fast 2 Furious (2003), Four Brothers (2005), Abduction (2011)",Boyz n the Hood (1991),
John Wayne,"The Alamo (1960), The Green Berets (1968)",,
John Woo,"Hard Target (1993), Broken Arrow (1996), Face/Off (1997), Mission: Impossible 2 (2000), Windtalkers (2002), Paycheck (2003)",,
Jon Favreau,"Made (2001), Elf (2003), Zathura: A Space Adventure (2005), Iron Man (2008), Iron Man 2 (2010), Cowboys & Aliens (2011), Chef (2014), The Jungle Book (2016), The Lion King (2019)",,
Jon Turteltaub,"3 Ninjas (1992), Cool Runnings (1993), While You Were Sleeping (1995), Phenomenon (1996), Instinct (1999), Disney's The Kid (2000), National Treasure (2004), National Treasure: Book of Secrets (2007), The Sorcerer's Apprentice (2010), Last Vegas (2013), The Meg (2018)",,
Jonah Hill,Mid90s (2018),,
